key,manufacturer,ID,type,V,k_t,R,L,mass,inertia,omega_nl,I_nl,I_nom,max_int_torque,max_int_speed,max_cont_speed,max_cont_power,coulomb_friction,viscous_friction,Rth1,Rth2
FH_2657W012CXR,Faulhaber,2657W012CXR,DC,12.0,0.01933,0.72,8.999999999999999e-05,0.156,1.6999999999999996e-06,586.4306286700947,0.10400000000000001,2.4,inf,733.0382858376182,527.7875658030853,inf,0.002,,4.4,12.6
FH_2657W018CXR,Faulhaber,2657W018CXR,DC,18.0,0.02973,1.53,0.00021400000000000002,0.156,1.6999999999999996e-06,575.9586531581288,0.067,1.7,inf,733.0382858376182,525.693170700692,inf,0.002,,4.4,12.6
FH_2657W024CXR,Faulhaber,2657W024CXR,DC,24.0,0.038669999999999996,2.98,0.000365,0.156,1.6999999999999996e-06,607.3745796940267,0.052000000000000005,1.2,inf,733.0382858376182,535.1179486614614,inf,0.002,,4.4,12.6
FH_2657W030CXR,Faulhaber,2657W030CXR,DC,30.0,0.048839999999999995,4.84,0.000579,0.156,1.6999999999999996e-06,596.9026041820608,0.040999999999999995,0.97,inf,733.0382858376182,528.8347633542818,inf,0.002,,4.4,12.6
FH_2657W036CXR,Faulhaber,2657W036CXR,DC,36.0,0.057999999999999996,6.76,0.000816,0.156,1.6999999999999996e-06,607.3745796940267,0.035,0.82,inf,733.0382858376182,538.2595413150514,inf,0.002,,4.4,12.6
FH_2657W048CXR,Faulhaber,2657W048CXR,DC,48.0,0.07834999999999999,12.61,0.0015,0.156,1.6999999999999996e-06,607.3745796940267,0.026000000000000002,0.61,inf,733.0382858376182,528.8347633542818,inf,0.002,,4.4,12.6
FH_1336U006CXR,Faulhaber,1336U006CXR,DC,6.0,0.00609,3.98,7e-05,0.021,5.5e-08,869.1739674931761,0.057999999999999996,0.7,inf,1047.1975511965975,291.1209192326542,inf,0.00035,,13.0,28.0
FH_1336U012CXR,Faulhaber,1336U012CXR,DC,12.0,0.012190000000000001,15.6,0.00028,0.021,5.7e-08,911.06186954104,0.028999999999999998,0.36,inf,1047.1975511965975,331.96162372932145,inf,0.00035,,13.0,28.0
FH_1336U018CXR,Faulhaber,1336U018CXR,DC,18.0,0.01818,36.6,0.000656,0.021,5.5e-08,921.533845053006,0.019,0.24,inf,1047.1975511965975,330.91442617812487,inf,0.00035,,13.0,28.0
FH_1336U024CXR,Faulhaber,1336U024CXR,DC,24.0,0.024370000000000003,63.7,0.0010999999999999998,0.021,5.600000000000001e-08,932.0058205649719,0.013999999999999999,0.18,inf,1047.1975511965975,340.3392041388942,inf,0.00035,,13.0,28.0
FH_1727U006CXR,Faulhaber,1727U006CXR,DC,6.0,0.00701,3.06,7.999999999999999e-05,0.027999999999999997,1.3e-07,764.4542123735163,0.052000000000000005,0.84,inf,942.477796076938,304.73448739820986,inf,0.00036,,9.1,28.3
FH_1727U012CXR,Faulhaber,1727U012CXR,DC,12.0,0.01403,13.78,0.00032,0.027999999999999997,1.2e-07,795.8701389094142,0.026000000000000002,0.41,inf,942.477796076938,294.26251188624394,inf,0.00036,,9.1,28.3
FH_1727U024CXR,Faulhaber,1727U024CXR,DC,24.0,0.02873,57.6,0.00144,0.027999999999999997,1.2e-07,795.8701389094142,0.013000000000000001,0.2,inf,942.477796076938,285.88493147667117,inf,0.00036,,9.1,28.3
FH_1741U006CXR,Faulhaber,1741U006CXR,DC,6.0,0.0073300000000000014,1.3,3.5e-05,0.045,1.8e-07,743.5102613495842,0.055,1.4,inf,942.477796076938,448.2005519121438,inf,0.0004,,7.0,23.0
FH_1741U012CXR,Faulhaber,1741U012CXR,DC,12.0,0.01429,5.8,0.000135,0.045,1.6e-07,795.8701389094142,0.027999999999999997,0.69,inf,942.477796076938,461.81412007769967,inf,0.0004,,7.0,23.0
FH_1741U018CXR,Faulhaber,1741U018CXR,DC,18.0,0.02271,15.0,0.00034,0.045,1.5e-07,764.4542123735163,0.017,0.43,inf,942.477796076938,412.5958351714595,inf,0.0004,,7.0,23.0
FH_1741U024CXR,Faulhaber,1741U024CXR,DC,24.0,0.030410000000000003,26.9,0.0006,0.045,1.5e-07,764.4542123735163,0.013000000000000001,0.33,inf,942.477796076938,412.5958351714595,inf,0.0004,,7.0,23.0
FH_2237S006CXR,Faulhaber,2237S006CXR,DC,6.0,0.00744,0.85,3.5e-05,0.068,3.1e-07,722.5663103256524,0.124,1.9,inf,837.7580409572781,497.41883681838385,inf,0.0009199999999999999,,8.0,17.0
FH_2237S012CXR,Faulhaber,2237S012CXR,DC,12.0,0.0159,3.92,0.00015,0.068,3.1e-07,712.0943348136864,0.057999999999999996,0.9,inf,837.7580409572781,466.00291028248597,inf,0.0009199999999999999,,8.0,17.0
FH_2237S018CXR,Faulhaber,2237S018CXR,DC,18.0,0.0233,8.5,0.00032,0.068,3.1e-07,733.0382858376182,0.039,0.61,inf,837.7580409572781,492.1828490624009,inf,0.0009199999999999999,,8.0,17.0
FH_2237S024CXR,Faulhaber,2237S024CXR,DC,24.0,0.0318,15.7,0.0005899999999999999,0.068,3.1e-07,722.5663103256524,0.028999999999999998,0.46,inf,837.7580409572781,477.5220833456485,inf,0.0009199999999999999,,8.0,17.0
FH_2237S036CXR,Faulhaber,2237S036CXR,DC,36.0,0.046200000000000005,33.0,0.00124,0.068,3.1e-07,753.9822368615503,0.02,0.31,inf,837.7580409572781,511.03240498393967,inf,0.0009199999999999999,,8.0,17.0
FH_2237S048CXR,Faulhaber,2237S048CXR,DC,48.0,0.0635,62.8,0.00234,0.068,3.1e-07,733.0382858376182,0.015,0.23,inf,837.7580409572781,484.85246620402467,inf,0.0009199999999999999,,8.0,17.0
FH_2642W012CXR,Faulhaber,2642W012CXR,DC,12.0,0.01857,1.46,0.000135,0.114,1.2e-06,607.3745796940267,0.092,1.6,inf,733.0382858376182,499.51323192077706,inf,0.0017,,4.7,15.2
FH_2642W015CXR,Faulhaber,2642W015CXR,DC,15.0,0.02416,2.17,0.00023199999999999997,0.114,1.2e-06,586.4306286700947,0.07,1.32,inf,733.0382858376182,487.9940588576145,inf,0.0017,,4.7,15.2
FH_2642W018CXR,Faulhaber,2642W018CXR,DC,18.0,0.028310000000000002,3.29,0.000313,0.114,1.2e-06,607.3745796940267,0.06,1.08,inf,733.0382858376182,497.41883681838385,inf,0.0017,,4.7,15.2
FH_2642W024CXR,Faulhaber,2642W024CXR,DC,24.0,0.03783,5.84,0.00056,0.114,1.2e-06,617.8465552059928,0.045,0.82,inf,733.0382858376182,499.51323192077706,inf,0.0017,,4.7,15.2
