key,manufacturer,ID,type,stages,ratio,mass,inertia,efficiency,direction,max_int_torque,max_cont_torque
MM_GPX08AAKLSL0216CPLW,Maxon,GPX08AAKLSL0216CPLW,planetary,3,216,0.004,4e-10,0.66,1,0.03,0.02
MM_GPX08AAKLSL0256CPLW,Maxon,GPX08AAKLSL0256CPLW,planetary,4,256,0.004,4e-10,0.65,1,0.12,0.08
MM_GPX08AAKLSL04D0CPLW,Maxon,GPX08AAKLSL04D0CPLW,planetary,1,4,0.003,4e-10,0.9,1,0.015,0.01
MM_GPX08AAKLSL1024CPLW,Maxon,GPX08AAKLSL1024CPLW,planetary,5,1024,0.005,4e-10,0.59,1,0.15,0.1
MM_GPX08AAKLSL1296CPLW,Maxon,GPX08AAKLSL1296CPLW,planetary,4,1296,0.004,4e-10,0.57,1,0.06,0.04
MM_GPX08AAKLSL16D0CPLW,Maxon,GPX08AAKLSL16D0CPLW,planetary,2,16,0.003,4e-10,0.81,1,0.03,0.02
MM_GPX08AAKLSL36D0CPLW,Maxon,GPX08AAKLSL36D0CPLW,planetary,2,36,0.003,4e-10,0.76,1,0.012,0.008
MM_GPX08AAKLSL64D0CPLW,Maxon,GPX08AAKLSL64D0CPLW,planetary,3,64,0.004,4e-10,0.73,1,0.09,0.06
MM_GPX10A1ST0004,Maxon,GPX10A1ST0004,planetary,1,4,0.007,5e-10,0.9,1,0.02,0.01
MM_GPX10A2ST0016,Maxon,GPX10A2ST0016,planetary,2,16,0.007,5e-10,0.81,1,0.05,0.03
MM_GPX10A3ST0064,Maxon,GPX10A3ST0064,planetary,3,64,0.008,5e-10,0.73,1,0.15,0.1
MM_GPX10A4ST0256,Maxon,GPX10A4ST0256,planetary,4,256,0.008,5e-10,0.65,1,0.2,0.15
MM_GPX10A5ST1024,Maxon,GPX10A5ST1024,planetary,5,1024,0.009,5e-10,0.59,1,0.2,0.15
MM_GPX12AAKLSL0103CPLW,Maxon,GPX12AAKLSL0103CPLW,planetary,3,102.839335180055,0.017,6.64e-09,0.75,1,0.18,0.14
MM_GPX12AAKLSL0111CPLW,Maxon,GPX12AAKLSL0111CPLW,planetary,3,111.203674867642,0.017,6.64e-09,0.75,1,0.18,0.14
MM_GPX12AAKLSL0138CPLW,Maxon,GPX12AAKLSL0138CPLW,planetary,3,138.279352226721,0.017,6.64e-09,0.75,1,0.18,0.14
MM_GPX12AAKLSL0150CPLW,Maxon,GPX12AAKLSL0150CPLW,planetary,3,149.526172052799,0.017,6.64e-09,0.75,1,0.18,0.14
MM_GPX12AAKLSL0172CPLW,Maxon,GPX12AAKLSL0172CPLW,planetary,3,171.947368421053,0.017,6.64e-09,0.75,1,0.18,0.14
MM_GPX12AAKLSL0186CPLW,Maxon,GPX12AAKLSL0186CPLW,planetary,3,185.932544378698,0.017,6.64e-09,0.75,1,0.18,0.14
MM_GPX12AAKLSL0231CPLW,Maxon,GPX12AAKLSL0231CPLW,planetary,3,231.203076923077,0.017,6.64e-09,0.75,1,0.18,0.14
MM_GPX12AAKLSL0243CPLW,Maxon,GPX12AAKLSL0243CPLW,planetary,4,242.789918739113,0.019,8.34e-09,0.65,1,0.21,0.17
MM_GPX12AAKLSL0326CPLW,Maxon,GPX12AAKLSL0326CPLW,planetary,4,326.459059966131,0.019,8.34e-09,0.65,1,0.21,0.17
